train_dataset,eval_dataset,algorithm,layer,layer_name,accuracy,n_samples,in_distribution
arc_easy,imdb,LDA,12,h12,0.7,100,False
arc_easy,dbpedia_14,LDA,12,h12,0.5,100,False
arc_easy,arc_easy,LR,12,h12,0.46,50,True
arc_easy,common_sense_qa,LR,12,h12,0.175,40,False
arc_easy,boolq,LR,12,h12,0.6,100,False
arc_easy,imdb,LR,12,h12,1.0,100,False
arc_easy,dbpedia_14,LR,12,h12,0.79,100,False
arc_easy,arc_easy,LR-G,12,h12,0.4,50,True
arc_easy,common_sense_qa,LR-G,12,h12,0.125,40,False
arc_easy,boolq,LR-G,12,h12,0.6,100,False
arc_easy,imdb,LR-G,12,h12,0.83,100,False
arc_easy,dbpedia_14,LR-G,12,h12,0.55,100,False
arc_easy,arc_easy,PCA,12,h12,0.38,50,True
arc_easy,common_sense_qa,PCA,12,h12,0.2,40,False
arc_easy,boolq,PCA,12,h12,0.58,100,False
arc_easy,imdb,PCA,12,h12,1.0,100,False
arc_easy,dbpedia_14,PCA,12,h12,0.88,100,False
arc_easy,arc_easy,PCA-G,12,h12,0.28,50,True
arc_easy,common_sense_qa,PCA-G,12,h12,0.225,40,False
arc_easy,boolq,PCA-G,12,h12,0.6,100,False
arc_easy,imdb,PCA-G,12,h12,1.0,100,False
arc_easy,dbpedia_14,PCA-G,12,h12,0.68,100,False
arc_easy,arc_easy,CCS,14,h14,0.28,50,True
arc_easy,common_sense_qa,CCS,14,h14,0.225,40,False
arc_easy,boolq,CCS,14,h14,0.6,100,False
arc_easy,imdb,CCS,14,h14,1.0,100,False
arc_easy,dbpedia_14,CCS,14,h14,0.57,100,False
arc_easy,arc_easy,LAT,14,h14,0.4,50,True
arc_easy,common_sense_qa,LAT,14,h14,0.25,40,False
arc_easy,boolq,LAT,14,h14,0.63,100,False
arc_easy,imdb,LAT,14,h14,1.0,100,False
arc_easy,dbpedia_14,LAT,14,h14,0.9,100,False
arc_easy,arc_easy,DIM,14,h14,0.52,50,True
arc_easy,common_sense_qa,DIM,14,h14,0.3,40,False
arc_easy,boolq,DIM,14,h14,0.59,100,False
arc_easy,imdb,DIM,14,h14,1.0,100,False
arc_easy,dbpedia_14,DIM,14,h14,0.8,100,False
arc_easy,arc_easy,LDA,14,h14,0.46,50,True
arc_easy,common_sense_qa,LDA,14,h14,0.3,40,False
arc_easy,boolq,LDA,14,h14,0.62,100,False
arc_easy,imdb,LDA,14,h14,0.52,100,False
arc_easy,dbpedia_14,LDA,14,h14,0.63,100,False
arc_easy,arc_easy,LR,14,h14,0.46,50,True
arc_easy,common_sense_qa,LR,14,h14,0.2,40,False
arc_easy,boolq,LR,14,h14,0.6,100,False
arc_easy,imdb,LR,14,h14,1.0,100,False
arc_easy,dbpedia_14,LR,14,h14,0.81,100,False
arc_easy,arc_easy,LR-G,14,h14,0.44,50,True
arc_easy,common_sense_qa,LR-G,14,h14,0.225,40,False
arc_easy,boolq,LR-G,14,h14,0.6,100,False
arc_easy,imdb,LR-G,14,h14,0.96,100,False
arc_easy,dbpedia_14,LR-G,14,h14,0.58,100,False
arc_easy,arc_easy,PCA,14,h14,0.36,50,True
arc_easy,common_sense_qa,PCA,14,h14,0.225,40,False
arc_easy,boolq,PCA,14,h14,0.64,100,False
arc_easy,imdb,PCA,14,h14,1.0,100,False
arc_easy,dbpedia_14,PCA,14,h14,0.82,100,False
arc_easy,arc_easy,PCA-G,14,h14,0.36,50,True
arc_easy,common_sense_qa,PCA-G,14,h14,0.175,40,False
arc_easy,boolq,PCA-G,14,h14,0.6,100,False
arc_easy,imdb,PCA-G,14,h14,0.98,100,False
arc_easy,dbpedia_14,PCA-G,14,h14,0.77,100,False
arc_easy,arc_easy,CCS,16,h16,0.34,50,True
arc_easy,common_sense_qa,CCS,16,h16,0.25,40,False
arc_easy,boolq,CCS,16,h16,0.6,100,False
arc_easy,imdb,CCS,16,h16,1.0,100,False
arc_easy,dbpedia_14,CCS,16,h16,0.76,100,False
arc_easy,arc_easy,LAT,16,h16,0.34,50,True
arc_easy,common_sense_qa,LAT,16,h16,0.2,40,False
arc_easy,boolq,LAT,16,h16,0.58,100,False
arc_easy,imdb,LAT,16,h16,1.0,100,False
arc_easy,dbpedia_14,LAT,16,h16,0.65,100,False
arc_easy,arc_easy,DIM,16,h16,0.5,50,True
arc_easy,common_sense_qa,DIM,16,h16,0.25,40,False
arc_easy,boolq,DIM,16,h16,0.54,100,False
arc_easy,imdb,DIM,16,h16,0.97,100,False
arc_easy,dbpedia_14,DIM,16,h16,0.6,100,False
arc_easy,arc_easy,LDA,16,h16,0.4,50,True
arc_easy,common_sense_qa,LDA,16,h16,0.25,40,False
arc_easy,boolq,LDA,16,h16,0.57,100,False
arc_easy,imdb,LDA,16,h16,0.97,100,False
arc_easy,dbpedia_14,LDA,16,h16,0.82,100,False
arc_easy,arc_easy,LR,16,h16,0.46,50,True
arc_easy,common_sense_qa,LR,16,h16,0.2,40,False
arc_easy,boolq,LR,16,h16,0.64,100,False
arc_easy,imdb,LR,16,h16,1.0,100,False
arc_easy,dbpedia_14,LR,16,h16,0.88,100,False
arc_easy,arc_easy,LR-G,16,h16,0.42,50,True
arc_easy,common_sense_qa,LR-G,16,h16,0.225,40,False
arc_easy,boolq,LR-G,16,h16,0.6,100,False
arc_easy,imdb,LR-G,16,h16,1.0,100,False
arc_easy,dbpedia_14,LR-G,16,h16,0.86,100,False
arc_easy,arc_easy,PCA,16,h16,0.34,50,True
arc_easy,common_sense_qa,PCA,16,h16,0.225,40,False
arc_easy,boolq,PCA,16,h16,0.57,100,False
arc_easy,imdb,PCA,16,h16,1.0,100,False
arc_easy,dbpedia_14,PCA,16,h16,0.87,100,False
arc_easy,arc_easy,PCA-G,16,h16,0.32,50,True
arc_easy,common_sense_qa,PCA-G,16,h16,0.2,40,False
arc_easy,boolq,PCA-G,16,h16,0.6,100,False
arc_easy,imdb,PCA-G,16,h16,0.96,100,False
arc_easy,dbpedia_14,PCA-G,16,h16,0.58,100,False
arc_easy,arc_easy,CCS,18,h18,0.36,50,True
arc_easy,common_sense_qa,CCS,18,h18,0.275,40,False
arc_easy,boolq,CCS,18,h18,0.6,100,False
arc_easy,imdb,CCS,18,h18,1.0,100,False
arc_easy,dbpedia_14,CCS,18,h18,0.83,100,False
arc_easy,arc_easy,LAT,18,h18,0.34,50,True
arc_easy,common_sense_qa,LAT,18,h18,0.25,40,False
arc_easy,boolq,LAT,18,h18,0.62,100,False
arc_easy,imdb,LAT,18,h18,0.53,100,False
arc_easy,dbpedia_14,LAT,18,h18,0.8,100,False
arc_easy,arc_easy,DIM,18,h18,0.48,50,True
arc_easy,common_sense_qa,DIM,18,h18,0.225,40,False
arc_easy,boolq,DIM,18,h18,0.56,100,False
arc_easy,imdb,DIM,18,h18,0.88,100,False
arc_easy,dbpedia_14,DIM,18,h18,0.74,100,False
arc_easy,arc_easy,LDA,18,h18,0.38,50,True
arc_easy,common_sense_qa,LDA,18,h18,0.275,40,False
arc_easy,boolq,LDA,18,h18,0.61,100,False
arc_easy,imdb,LDA,18,h18,1.0,100,False
arc_easy,dbpedia_14,LDA,18,h18,0.73,100,False
arc_easy,arc_easy,LR,18,h18,0.42,50,True
arc_easy,common_sense_qa,LR,18,h18,0.175,40,False
arc_easy,boolq,LR,18,h18,0.6,100,False
arc_easy,imdb,LR,18,h18,1.0,100,False
arc_easy,dbpedia_14,LR,18,h18,0.87,100,False
arc_easy,arc_easy,LR-G,18,h18,0.38,50,True
arc_easy,common_sense_qa,LR-G,18,h18,0.175,40,False
arc_easy,boolq,LR-G,18,h18,0.6,100,False
arc_easy,imdb,LR-G,18,h18,1.0,100,False
arc_easy,dbpedia_14,LR-G,18,h18,0.87,100,False
arc_easy,arc_easy,PCA,18,h18,0.36,50,True
arc_easy,common_sense_qa,PCA,18,h18,0.175,40,False
arc_easy,boolq,PCA,18,h18,0.61,100,False
arc_easy,imdb,PCA,18,h18,0.62,100,False
arc_easy,dbpedia_14,PCA,18,h18,0.69,100,False
arc_easy,arc_easy,PCA-G,18,h18,0.32,50,True
arc_easy,common_sense_qa,PCA-G,18,h18,0.2,40,False
arc_easy,boolq,PCA-G,18,h18,0.64,100,False
arc_easy,imdb,PCA-G,18,h18,0.9,100,False
arc_easy,dbpedia_14,PCA-G,18,h18,0.51,100,False
arc_easy,arc_easy,CCS,20,h20,0.42,50,True
arc_easy,common_sense_qa,CCS,20,h20,0.35,40,False
arc_easy,boolq,CCS,20,h20,0.61,100,False
arc_easy,imdb,CCS,20,h20,1.0,100,False
arc_easy,dbpedia_14,CCS,20,h20,0.63,100,False
arc_easy,arc_easy,LAT,20,h20,0.36,50,True
arc_easy,common_sense_qa,LAT,20,h20,0.2,40,False
arc_easy,boolq,LAT,20,h20,0.61,100,False
arc_easy,imdb,LAT,20,h20,0.73,100,False
arc_easy,dbpedia_14,LAT,20,h20,0.57,100,False
arc_easy,arc_easy,DIM,20,h20,0.44,50,True
arc_easy,common_sense_qa,DIM,20,h20,0.25,40,False
arc_easy,boolq,DIM,20,h20,0.58,100,False
arc_easy,imdb,DIM,20,h20,0.54,100,False
arc_easy,dbpedia_14,DIM,20,h20,0.55,100,False
arc_easy,arc_easy,LDA,20,h20,0.34,50,True
arc_easy,common_sense_qa,LDA,20,h20,0.225,40,False
arc_easy,boolq,LDA,20,h20,0.54,100,False
arc_easy,imdb,LDA,20,h20,0.98,100,False
arc_easy,dbpedia_14,LDA,20,h20,0.66,100,False
arc_easy,arc_easy,LR,20,h20,0.44,50,True
arc_easy,common_sense_qa,LR,20,h20,0.15,40,False
arc_easy,boolq,LR,20,h20,0.54,100,False
arc_easy,imdb,LR,20,h20,0.98,100,False
arc_easy,dbpedia_14,LR,20,h20,0.87,100,False
arc_easy,arc_easy,LR-G,20,h20,0.36,50,True
arc_easy,common_sense_qa,LR-G,20,h20,0.125,40,False
arc_easy,boolq,LR-G,20,h20,0.6,100,False
arc_easy,imdb,LR-G,20,h20,0.97,100,False
arc_easy,dbpedia_14,LR-G,20,h20,0.88,100,False
arc_easy,arc_easy,PCA,20,h20,0.28,50,True
arc_easy,common_sense_qa,PCA,20,h20,0.275,40,False
arc_easy,boolq,PCA,20,h20,0.56,100,False
arc_easy,imdb,PCA,20,h20,0.93,100,False
arc_easy,dbpedia_14,PCA,20,h20,0.59,100,False
arc_easy,arc_easy,PCA-G,20,h20,0.36,50,True
arc_easy,common_sense_qa,PCA-G,20,h20,0.125,40,False
arc_easy,boolq,PCA-G,20,h20,0.53,100,False
arc_easy,imdb,PCA-G,20,h20,1.0,100,False
arc_easy,dbpedia_14,PCA-G,20,h20,0.56,100,False
arc_easy,arc_easy,CCS,22,h22,0.34,50,True
arc_easy,common_sense_qa,CCS,22,h22,0.2,40,False
arc_easy,boolq,CCS,22,h22,0.59,100,False
arc_easy,imdb,CCS,22,h22,1.0,100,False
arc_easy,dbpedia_14,CCS,22,h22,0.5,100,False
arc_easy,arc_easy,LAT,22,h22,0.26,50,True
arc_easy,common_sense_qa,LAT,22,h22,0.2,40,False
arc_easy,boolq,LAT,22,h22,0.57,100,False
arc_easy,imdb,LAT,22,h22,0.99,100,False
arc_easy,dbpedia_14,LAT,22,h22,0.58,100,False
arc_easy,arc_easy,DIM,22,h22,0.42,50,True
arc_easy,common_sense_qa,DIM,22,h22,0.2,40,False
arc_easy,boolq,DIM,22,h22,0.6,100,False
arc_easy,imdb,DIM,22,h22,0.99,100,False
arc_easy,dbpedia_14,DIM,22,h22,0.67,100,False
arc_easy,arc_easy,LDA,22,h22,0.3,50,True
arc_easy,common_sense_qa,LDA,22,h22,0.2,40,False
arc_easy,boolq,LDA,22,h22,0.6,100,False
arc_easy,imdb,LDA,22,h22,1.0,100,False
arc_easy,dbpedia_14,LDA,22,h22,0.66,100,False
arc_easy,arc_easy,LR,22,h22,0.42,50,True
arc_easy,common_sense_qa,LR,22,h22,0.175,40,False
arc_easy,boolq,LR,22,h22,0.59,100,False
arc_easy,imdb,LR,22,h22,0.92,100,False
arc_easy,dbpedia_14,LR,22,h22,0.93,100,False
arc_easy,arc_easy,LR-G,22,h22,0.46,50,True
arc_easy,common_sense_qa,LR-G,22,h22,0.175,40,False
arc_easy,boolq,LR-G,22,h22,0.6,100,False
arc_easy,imdb,LR-G,22,h22,0.82,100,False
arc_easy,dbpedia_14,LR-G,22,h22,0.91,100,False
arc_easy,arc_easy,PCA,22,h22,0.22,50,True
arc_easy,common_sense_qa,PCA,22,h22,0.1,40,False
arc_easy,boolq,PCA,22,h22,0.56,100,False
arc_easy,imdb,PCA,22,h22,0.97,100,False
arc_easy,dbpedia_14,PCA,22,h22,0.59,100,False
arc_easy,arc_easy,PCA-G,22,h22,0.38,50,True
